"Category","Product Link"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/realme-c75x-6gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-y04-64gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-reno12-f-5g-12gb-256gb?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-reno13-pro-5g?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/realme-c75-8gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-v40-lite-8gb-256gb?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-find-x8"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/realme-note-60x-4gb-64gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-v30"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-v30e"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/realme-note-60"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-16-pro-max"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/nokia-105-4g-pro"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/masstel-izi-t6"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/nokia-220-4g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/mobell-m331"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/masstel-fami-50"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/nokia-hmd-105-4g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/mobell-m539"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-y39-5g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/masstel-izi-10-type-c"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/viettel-sumo-4g-t2"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-reno14-f-5g-8gb-256gb-hong"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a06-4gb-64gb?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-v50-lite"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/masstel-izi-10"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-16-pro"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/mobell-f209"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s24-ultra-5g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/mobell-m239"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/honor-x5b"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/benco-4g-g3"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/nokia-3210-4g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-note-14-5g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-reno13-f-5g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/nokia-110-4g-pro"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-a5i-4gb-64gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a16-4gb-128gb?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/honor-x7c"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/mobell-f309"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-reno14-5g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-reno12-f-4g-8gb-256gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s25-plus?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-a58-4g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-a5i-pro-8gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/tecno-spark-30"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a16-5g-8gb-128gb?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/honor-400-pro"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-find-n3-flip-hong"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-find-x8-pro"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s25-edge-5g"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-reno12-pro?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a17-8gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-v40-5g?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/masstel-fami-60s"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-y28-256gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-find-n3"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-y03?utm_flashsale=1"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/honor-magic-v3"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/oppo-reno12-5g-12gb-512gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/vivo-y18-4gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s25-fe-5g-8gb-128gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/iphone-15-pro"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s25-fe-5g-8gb-512gb"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s25-fe-5g-8gb-512gb-trang-xanh"
"dien-thoai","https://www.dienmayxanh.com/dien-thoai/honor-magic-v5-5g-16gb-512gb"
